#OTU ID	B-G-9	B-GCA-6	M-GCA-1	B-GCA-3	M-A-10	B-C-7	B-A-2	B-C-5	M-CF-9	B-G-1	G-A-4	M-C-11	B-C-8	B-A-8	B-C-10	M-CF-8	G-A-5	G-G-9	B-CF-11	G-CF-8	B-A-4	M-G-9	B-G-12	G-GCA-11	G-GCA-12	G-A-7	M-C-3	M-C-8	M-A-3	S-1	G-G-11	G-CF-11	B-A-9	B-G-6	G-A-12	B-CF-10	M-CF-5	G-A-11	B-A-6	M-G-1	B-GCA-11	G-A-8	M-C-2	B-A-3	G-C-3	M-GCA-4	B-C-1	B-GCA-12	M-A-12	M-CF-6	G-GCA-1	M-A-1	M-CF-2	M-A-8	G-C-9	G-A-2	M-GCA-5	B-A-10	G-G-1	B-GCA-1	B-GCA-2	M-A-7	G-CF-9	M-C-12	M-G-12	M-G-2	G-C-5	M-A-2	G-GCA-9	G-GCA-7	G-C-7	M-G-8	G-G-12	B-G-3	M-CF-10	G-CF-4	G-CF-7	G-GCA-2	M-G-10	M-CF-11	G-GCA-10	G-A-9	G-G-8	M-CF-12	G-GCA-3	M-G-11	B-G-8	G-C-1	G-CF-3	G-C-12	I1	B-G-10	G-C-2	M-GCA-12	M-GCA-7	B-G-11	B-A-7	B-GCA-8	M-G-4	G-C-8	M-A-11	B-A-12	G-A-10	M-G-7	G-G-2	B-C-6	M-CF-1	B-GCA-7	M-C-1	B-G-2	G-CF-6	M-G-6	M-CF-7	G-A-6	G-A-3	G-G-6	G-A-1	B-A-11	B-GCA-10	G-CF-2	B-G-4	M-A-4	G-G-5	M-C-5	M-C-9	G-CF-5	M-GCA-6	G-G-3	G-G-10	B-C-9	B-C-11	B-C-2	M-GCA-9	M-G-5	G-GCA-6	G-GCA-4	B-A-1	M-CF-4	G-CF-10	M-GCA-8	I2	M-A-9	M-GCA-2	S-2	B-G-7	G-C-10	G-GCA-8	B-C-3	B-C-4	M-G-3	I3	G-G-7	G-CF-1	M-GCA-10	M-A-5	M-GCA-11	G-G-4	M-CF-3	B-C-12	G-CF-12	M-GCA-3	B-G-5	B-GCA-5	M-C-10	G-C-11	B-A-5	G-C-4	M-A-6	B-GCA-4	M-C-6	M-C-4	B-GCA-9	M-C-7	taxonomy
OTU_1	23440	26805	554	27710	1322	26527	1048	29077	49	3856	1233	7354	32402	1080	36203	280	115	11286	18643	697	1992	7220	22531	27835	6127	183	18874	27581	1077	159	20485	2066	754	22362	1213	1596	84	924	995	14215	15809	1122	24350	1619	22483	24741	35484	23413	1419	343	19733	332	1988	1948	27682	1249	23746	1267	23005	1924	15292	904	292	5086	19051	10466	15933	1235	24130	38654	33335	27204	4433	835	1678	78	2373	17385	16553	118	30886	978	19911	288	29220	6132	22136	31014	1411	28670	19	25983	26435	25220	5988	20758	1140	3794	19466	27717	1328	1058	1484	1026	11274	1265	524	21649	23298	23415	820	23832	112	558	1124	18199	1816	1176	26277	597	22291	823	9863	33877	34258	39	1709	21025	24611	30886	32177	27544	1172	5959	29193	27207	1827	1101	963	3728	42	1943	15235	34	24533	30103	27068	18412	27151	9773	9	14150	2211	14561	119	3462	15368	530	29932	2556	746	20655	24859	9285	27557	1278	27135	1213	18178	13224	22560	25135	7715	k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Enterobacter,s__?
OTU_2	15971	10373	386	10331	19745	4239	15234	5039	922	1571	13660	1400	5136	21185	6601	3865	1130	7494	17089	7464	21094	4163	11112	10938	1853	2725	7963	4802	21924	135	10352	21735	17114	12208	21006	23788	931	17146	19433	8962	5575	22229	9002	21161	7947	14196	9187	8358	22862	3966	16200	7187	24367	25091	6490	19943	9870	22019	22162	5577	5751	15065	7849	1048	9904	4859	2182	25556	14329	14650	4611	8700	2872	546	22586	2796	28709	14453	8612	703	9941	17531	11237	4928	15047	3706	12570	9945	24157	4331	20937	16206	6924	11330	2751	12226	21547	1382	13751	3893	18745	17177	22463	497	10395	205	8132	9568	10003	14260	9665	8662	1190	17386	17763	9153	18969	19426	10181	7185	14180	19757	5973	5880	6331	645	733	13280	14279	6685	6550	6137	376	11374	12538	18310	19871	15062	1219	1577	22579	22889	11556	19	13142	5755	9003	15182	5482	4649	6696	6547	25461	7699	2506	2050	16541	4000	6565	22481	469	9699	9629	2158	5625	19899	9762	19085	7623	2204	9239	6696	1202	k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,s__?
OTU_3	495	552	26	114	3011	645	2397	859	100	54	1818	171	995	4324	1021	566	97	401	3287	617	3758	171	574	1167	180	416	401	527	2484	8	676	2996	3167	620	3316	4566	99	2736	4396	360	234	3492	394	2491	196	710	296	359	4060	793	458	750	2998	4258	721	2300	915	2809	304	978	68	1833	721	66	584	144	238	3314	1454	691	358	644	117	3	2923	161	4337	384	405	95	1052	2144	721	665	408	245	568	241	2762	339	581	568	265	1174	205	545	4676	41	531	398	3046	3399	3405	34	176	40	1062	392	556	257	1532	584	182	237	2198	808	2565	3849	533	890	229	1773	548	585	693	7	65	684	819	724	878	135	37	110	1763	580	3653	2156	2493	125	512	2888	753	2	688	447	1208	730	159	204	155	420	4459	707	314	108	480	567	835	4018	22	541	541	173	431	4431	234	3278	103	269	630	445	180	k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__?
OTU_4	161	270	95	218	2638	153	1587	199	82	691	1229	112	192	1602	164	491	86	1526	1016	722	2597	301	136	635	101	250	1135	341	2018	219	767	2199	1052	167	1883	1719	116	1480	1512	6122	106	2090	452	2472	214	3495	51	160	2715	480	846	715	2118	2692	424	1981	1839	1380	1078	14	92	1096	437	74	3510	5239	179	1981	2957	1014	226	4850	258	3	3196	49	2993	671	7828	130	821	1693	732	528	728	1863	161	316	1687	182	10	127	216	2934	764	108	1598	20	4636	166	2524	1122	2204	261	725	12	811	188	599	51	951	6068	148	1286	1586	934	2602	1403	234	665	43	1498	1030	420	230	41	164	1488	943	82	133	33	35	2268	1131	887	2322	1925	1727	360	1193	2267	2233	63	199	206	798	116	13	4680	3	549	2249	1840	213	763	1176	521	116	2802	61	226	207	156	206	1592	239	2018	154	153	712	225	78	k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__?
OTU_6	851	529	47	844	2292	217	1126	228	94	115	1358	85	277	1074	492	312	1	423	1225	266	1663	304	456	748	131	192	1188	222	2912	6	618	1834	1088	255	1833	1790	68	1698	1355	930	324	1449	2103	1700	1980	1754	982	515	2143	365	3430	1170	3214	1837	415	2324	447	1369	3761	4497	398	782	599	36	571	454	35	3934	950	1020	295	241	281	48	2373	244	2876	3126	185	69	906	1667	389	376	3548	183	236	2207	2598	352	3001	892	1695	690	85	670	1099	48	1489	236	1788	950	2055	14	1301	5	982	438	1311	1131	878	205	94	2725	2012	314	2692	1242	941	1075	1081	2062	1087	216	569	67	9	1317	849	494	558	694	51	5087	887	4088	1302	1743	1756	41	4124	2507	1470	0	261	496	710	2181	632	389	1605	211	2849	469	123	88	2034	435	539	1882	53	229	471	100	424	1119	2231	1625	649	97	1127	1014	73	k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Rhodanobacter,s__?
OTU_5	1111	932	16	631	687	558	674	668	29	83	547	68	622	1245	1139	206	10	247	1025	378	1257	161	762	556	84	166	390	347	1033	38	412	898	953	656	1051	1222	47	868	1292	289	380	1062	636	1026	500	689	1525	760	1266	205	1452	389	1721	1414	308	951	457	1335	990	970	305	505	135	16	241	127	246	1851	654	829	329	278	95	31	1192	89	1559	1048	153	29	649	874	344	246	824	89	539	871	1167	277	683	1233	509	522	108	987	1232	38	370	281	1304	899	992	15	307	22	591	842	424	875	639	251	64	354	957	264	979	1002	844	482	1372	1497	808	333	430	23	33	388	459	1090	1004	1013	22	596	698	1503	1112	898	22	55	284	1662	664	34	563	411	762	2487	687	141	75	217	1456	297	68	69	611	246	1189	816	35	392	896	99	359	1208	315	1196	647	192	225	1284	112	k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Leifsonia,s__?
OTU_11	312	266	12	346	1675	157	966	199	66	33	866	55	195	838	258	213	36	159	861	284	1413	108	208	367	68	176	313	210	1635	0	221	1100	813	185	1013	1427	57	1133	907	230	120	1121	528	1239	405	558	432	235	1425	234	827	521	2064	1101	241	1457	267	1012	738	332	164	561	404	29	197	150	39	2393	477	475	183	276	63	8	1326	146	1442	764	169	43	338	988	175	240	945	73	213	697	1518	145	1425	352	487	273	78	267	914	37	254	161	1294	817	1195	5	295	8	702	254	228	256	558	185	61	1337	1104	68	1329	1093	313	554	272	1440	873	224	301	50	20	397	286	281	343	236	15	549	437	1044	1121	1400	132	39	2802	1368	398	1	204	256	358	633	241	135	390	119	1475	239	117	59	395	313	241	1184	13	125	215	76	250	783	636	1098	216	75	253	228	42	k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Dyella,s__?
OTU_7	289	302	5	42	1399	182	355	235	32	10	295	35	278	1736	251	276	63	144	1064	367	656	20	279	281	19	139	58	226	841	112	180	1001	909	389	1198	1543	68	863	1434	96	123	1731	62	345	9	174	62	219	1569	336	25	234	1068	1978	158	410	300	746	39	705	14	986	308	17	176	49	66	1134	454	409	105	484	31	0	1124	48	1862	29	264	60	160	723	175	281	30	79	359	24	497	63	2496	258	19	373	101	292	1901	29	143	120	1064	1114	1070	18	18	15	503	245	104	156	705	317	84	6	463	139	401	1120	278	205	155	1312	35	298	76	0	31	23	154	168	267	20	3	13	601	49	633	751	940	60	3401	944	160	34	370	93	285	189	35	41	840	118	867	217	128	64	28	210	184	1748	6	332	326	27	104	1713	7	1638	35	72	42	208	52	k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__?
OTU_9	111	357	2	426	408	446	862	526	26	36	421	26	488	1124	649	84	11	50	1091	26	1742	52	89	142	29	82	88	47	728	201	108	773	737	118	651	1395	26	753	920	100	156	649	216	1612	141	144	530	251	865	142	445	234	1383	767	50	748	79	972	471	285	111	269	85	0	107	21	36	1100	135	113	83	31	37	0	780	91	758	413	21	18	221	640	104	132	393	27	89	107	1178	84	53	113	131	170	14	106	958	17	60	47	809	793	750	3	50	15	418	297	78	46	179	26	45	213	619	65	874	797	395	260	56	951	95	43	139	10	4	96	117	514	545	620	10	62	218	443	1489	701	579	11	90	951	107	94	99	67	268	1123	373	31	3	28	1232	72	45	6	174	196	628	650	7	108	285	9	50	626	134	523	270	62	125	444	21	k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Arthrobacter,s__?
OTU_8	110	204	13	15	549	170	217	218	10	29	233	149	279	627	329	97	4	245	392	108	415	115	104	1169	196	73	207	361	613	0	419	421	473	145	581	510	17	694	567	95	71	778	293	299	152	379	60	114	1002	121	317	152	545	971	583	416	906	539	227	40	14	377	94	53	383	24	333	805	1018	498	471	210	143	1	476	35	542	408	119	21	944	590	522	103	275	125	124	300	379	310	2007	168	193	948	145	128	736	12	246	509	631	477	590	20	104	16	201	143	317	59	204	316	49	33	372	530	221	545	151	114	61	571	107	215	739	4	28	283	491	200	281	43	27	97	963	294	389	355	357	67	1312	495	660	0	152	490	953	257	42	75	352	383	562	452	58	53	336	108	238	516	32	197	202	164	484	663	128	775	21	315	292	149	200	k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,s__?
