#OTU ID	B-CF-3	M-G-12	M-A-3	M-A-10	G-GCA-10	G-C-1	G-A-6	G-CF-11	G-A-12	G-CF-5	G-CF-9	G-CF-3	B-CF-4	M-GCA-6	B-A-10	M-GCA-1	G-CF-7	G-G-9	B-GCA-10	M-C-12	M-GCA-12	G-G-4	M-C-4	G-CF-2	G-CF-4	G-G-5	G-A-11	M-A-4	M-G-9	B-CF-11	G-G-6	M-CF-9	G-G-10	M-A-12	G-A-3	B-G-12	M-CF-4	B-G-1	M-C-3	I3	M-CF-2	M-G-5	S-1	M-G-8	B-G-3	M-GCA-5	G-CF-1	B-G-9	G-C-7	M-CF-8	B-C-11	B-C-9	M-C-1	G-C-9	B-C-3	I1	G-A-10	G-A-7	G-GCA-3	G-A-4	B-C-8	B-GCA-4	G-G-12	B-C-10	G-CF-6	B-A-1	M-G-4	M-CF-1	M-A-7	G-C-5	G-A-8	M-C-7	G-C-8	M-GCA-10	B-CF-8	M-G-6	M-CF-12	M-G-2	B-A-7	B-CF-10	M-GCA-7	B-CF-12	B-G-8	B-GCA-6	B-G-5	G-CF-12	G-C-2	G-A-9	M-G-1	M-A-6	B-G-2	B-CF-5	M-GCA-11	B-C-4	B-G-7	G-GCA-7	B-G-10	G-G-1	G-G-3	G-CF-8	B-GCA-7	G-G-8	B-C-1	G-A-1	M-G-7	B-A-2	M-GCA-3	G-GCA-2	B-CF-6	M-CF-10	G-GCA-12	G-C-4	G-A-2	M-CF-7	M-A-8	G-GCA-9	M-C-9	B-CF-1	M-GCA-4	M-C-2	G-C-10	B-A-9	G-GCA-1	M-G-10	G-GCA-6	M-GCA-2	B-A-6	B-GCA-12	B-GCA-5	B-A-8	B-GCA-2	M-A-2	M-G-3	M-C-6	B-A-5	B-A-4	B-GCA-11	B-C-2	G-CF-10	G-GCA-4	B-GCA-1	B-G-6	B-G-4	B-C-5	M-C-5	B-A-3	B-C-6	G-G-2	M-CF-5	B-C-12	G-G-7	M-A-5	G-C-3	M-GCA-9	I2	M-A-9	M-C-10	B-A-12	G-C-11	M-CF-6	B-CF-7	B-A-11	B-C-7	B-CF-2	S-2	G-GCA-8	M-CF-3	M-C-8	taxonomy
OTU_1	6490	5967	2988	7884	25528	3253	1627	44	1952	459	37	0	3501	2857	3168	4367	0	6031	3183	31457	11606	1590	24853	0	3918	5249	2160	4773	18240	15	3321	30143	6564	26194	488	1809	23469	5754	5390	26660	6938	31666	1764	9626	4480	7485	3612	2046	3873	28180	170	3044	13844	1010	1365	23126	2351	3501	10668	3986	3350	2	5091	6	0	60	3134	20174	35917	3734	2864	42515	3330	7747	1966	3044	28893	2700	2174	2901	5509	3995	1527	2407	3256	126	2880	1410	14299	9237	3163	375	0	3408	4271	20146	1166	13584	3874	1722	498	7919	5587	3371	10324	4630	5678	10727	4464	22759	42401	2227	4632	17505	21241	13484	45741	7228	318	12185	3350	4393	13611	3064	0	4628	5050	7868	1428	6384	3644	6298	9266	21670	2689	3894	4283	1796	4	10826	4631	3686	5892	9	46638	5663	3500	6286	42579	3382	4988	21397	2558	2739	5551	13100	31824	1815	3617	24949	1381	5703	4164	1	5178	27185	43	13676	k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__?
OTU_2	1330	1031	355	576	4507	2763	106	21	208	463	40	0	920	620	1361	2032	0	912	895	14332	2378	405	14541	0	623	502	221	232	3465	1807	383	1655	1449	2666	60	654	3968	992	2260	4761	507	7982	267	2572	2372	866	627	1202	572	3434	6447	3502	7407	318	754	3277	285	290	1736	341	1014	4	531	111	0	27	897	1546	3544	820	243	11525	709	1519	863	415	2860	398	768	1899	1938	1508	298	648	859	31	971	52	2810	989	918	144	1	1847	652	4379	448	2686	1264	153	74	909	2809	1159	2162	1989	1423	2255	1673	1712	6570	929	510	1350	3308	2286	13080	3474	65	6816	1386	966	2189	1855	0	1408	1866	3077	268	2080	1629	387	3781	4985	961	1247	1283	953	4	1874	1768	542	1894	1	10817	1856	530	1738	2779	2900	847	1676	1235	498	5106	3536	8658	1202	1859	4152	583	2220	658	0	799	2469	45	4479	k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__?
OTU_4	0	20	1	0	0	53	0	0	0	0	0	0	1	2	2	0	0	1	0	5	40	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	165	0	200	15141	3	0	32	0	1	0	6	0	0	6	0	0	6	0	1	6506	0	0	0	0	0	0	0	0	0	0	3	22	0	0	0	4	0	0	0	0	29	7	6	1	0	0	0	0	5	0	2	0	100	0	0	0	0	0	0	0	0	46	8	0	0	0	86	0	0	1	1	3	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	15	34	0	0	7	0	0	57	0	9	3	0	0	0	0	4	0	0	0	2	4	0	0	4	0	0	7	0	0	37549	0	2	0	0	3	0	1	0	0	20	0	0	1	k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Hypocrea,s__?
OTU_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	16742	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	2	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	3	1	3	0	0	0	0	1	0	0	39101	0	0	0	k__Fungi,p__?,c__?,o__?,f__?,g__?,s__?
OTU_5	130	117	7	93	435	187	5	10	29	0	0	0	80	109	117	62	0	167	62	2046	232	61	2236	0	6	79	17	0	230	0	57	325	123	1218	0	56	276	77	435	166	33	472	191	338	87	205	58	22	82	778	1	259	635	42	49	353	70	71	235	30	120	0	99	0	0	4	68	160	965	102	38	1613	171	103	63	76	542	6	55	134	207	162	27	43	52	0	145	30	311	165	47	25	0	120	68	84	39	493	100	18	14	130	113	37	233	203	51	189	165	289	655	134	82	410	511	197	2274	286	2	746	121	119	258	35	0	117	152	334	50	201	86	45	185	1045	66	98	100	69	0	157	86	122	89	0	1514	114	131	130	998	60	119	256	231	31	2245	195	3012	58	121	940	53	148	155	0	210	374	0	623	k__Fungi,p__Ascomycota,c__Dothideomycetes,o__?,f__?,g__?,s__?
OTU_6	57	153	38	70	378	70	35	1	40	0	0	0	46	95	56	31	0	67	38	330	210	22	488	0	17	203	39	0	232	0	85	508	144	238	8	27	318	141	57	153	106	317	791	1162	122	114	56	49	53	510	0	24	133	7	16	10201	73	88	127	58	64	0	68	0	0	4	25	430	973	61	32	1632	57	70	28	55	393	54	33	57	59	93	10	52	63	0	54	7	210	309	49	4	0	82	27	225	18	190	117	46	2	129	142	58	203	81	49	289	78	382	673	18	82	216	288	120	685	141	5	156	40	82	226	28	0	92	74	107	17	168	72	96	48	454	55	55	78	24	0	207	81	34	73	0	1377	88	27	90	1017	45	106	465	45	25	896	132	300	12	120	465	22	59	54	0	558	338	0	403	k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Gibberella,s__Gibberella_baccata_SH219689.07FU
OTU_7	104	293	169	610	362	19	8	0	81	0	117	0	47	14	58	74	0	97	14	153	245	31	340	0	199	10	118	479	86	84	0	866	17	1847	9	11	1426	79	40	2136	352	390	21	56	43	14	109	8	37	1246	102	36	150	8	3	718	115	71	295	259	9	0	40	1	0	2	29	913	1033	4	67	422	23	77	61	10	1202	20	59	108	13	156	1	24	23	12	69	26	191	208	18	32	0	14	34	129	4	421	42	15	0	35	37	261	43	162	202	306	129	630	495	32	123	281	587	151	216	251	3	439	31	28	184	20	0	89	124	49	5	123	36	212	41	133	31	66	31	12	0	227	44	19	39	0	251	65	3	123	1328	19	16	552	130	23	433	318	180	46	32	622	41	101	27	0	48	184	0	126	k__Fungi,p__Ascomycota,c__?,o__?,f__?,g__?,s__?
OTU_8	44	169	104	244	211	47	13	0	90	0	0	0	5	103	60	35	0	49	16	361	144	18	144	0	0	5	75	34	174	0	0	433	29	1183	1	11	553	68	27	69	151	1	354	1974	77	15	161	11	8	821	0	19	1901	4	13	541	76	8	120	53	43	0	2	0	0	4	48	801	1695	6	29	285	33	32	9	8	1093	17	35	99	13	79	12	33	27	0	23	30	84	161	9	3	0	37	3	149	15	213	26	13	1	53	723	577	597	448	69	249	65	761	344	16	52	883	482	22	97	633	2	84	66	29	180	193	0	16	110	1	2	77	17	209	175	111	152	113	34	10	0	64	85	6	10	0	346	62	12	84	518	34	52	399	19	13	1533	50	10	241	29	337	13	92	21	0	415	21	0	162	k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__?,g__?,s__?
OTU_9	113	48	34	49	303	265	0	0	34	0	0	0	193	36	74	98	0	53	106	2917	197	29	936	0	0	7	26	26	137	0	55	129	62	346	3	30	359	45	143	71	32	41	0	106	195	27	40	88	42	25	0	388	786	19	43	47	20	32	135	68	79	0	13	0	0	1	39	111	303	52	45	1048	58	144	74	47	288	16	54	199	156	150	16	33	86	7	93	11	213	68	79	16	0	117	56	167	21	332	47	0	6	69	190	68	186	312	88	120	109	0	444	64	52	62	100	214	836	418	10	562	79	144	192	40	0	126	141	234	30	156	177	44	207	303	68	63	113	80	0	97	144	56	180	0	599	252	38	141	384	481	59	65	76	22	79	97	589	110	171	169	45	220	93	0	11	238	0	439	k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__?,g__?,s__?
OTU_11	1	0	6	70	0	0	0	0	6	0	0	0	2	0	0	0	0	2	0	11	6	0	1	1	0	1	12	0	1	14	0	93	0	57	0	0	45	0	5	342	0	1	4010	6	0	0	5	0	0	1	0	0	0	0	0	2759	0	0	1	8	0	0	0	0	0	0	0	1	0	4	15	1	6	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	74	0	0	0	0	0	0	6	0	1	0	0	1	137	0	9	0	0	54	1	4	20	13	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	18	0	9	1	0	0	1	2	2	0	0	0	0	1	2	252	0	0	69	0	0	12258	29	2	64	3	34	2	0	0	0	2818	3	0	0	k__Fungi,p__?,c__?,o__?,f__?,g__?,s__?
