Structure,Mixed glass,Glass wool,Glass wool,Mixed glass,Glass wool,Mixed glass,Glass wool,Mixed glass,Glass wool,Glass wool,Broth,Broth,Mixed glass,Mixed glass,Mixed glass,Broth,Broth,Glass wool,Broth,Broth,Mixed glass,Glass wool,Broth,Broth,Glass wool,Mixed glass,Glass wool,Mixed glass,Glass wool,Mixed glass,Mixed glass,Broth,Broth,Glass wool,Mixed glass,Broth,Broth,Broth,Broth,Glass wool,Glass wool,Glass wool,Broth,Mixed glass,Glass wool,Mixed glass,Mixed glass,Glass wool,Mixed glass,Mixed glass,Mixed glass,Broth,Broth,Broth,Mixed glass,Broth,Glass wool,Broth,Glass wool,Glass wool,Mixed glass,Glass wool,Broth,Mixed glass
Substrate,Glucose,Cellobiose,Glucose,Cellobiose,Glucose,Cellobiose,Glucose,Glucose,Glucose,Glucose,Glucose,Glucose,Cellobiose,Glucose,Glucose,Glucose,Glucose,Cellobiose,Cellobiose,Cellobiose,Cellobiose,Cellobiose,Cellobiose,Cellobiose,Glucose,Glucose,Cellobiose,Cellobiose,Cellobiose,Glucose,Glucose,Glucose,Glucose,Cellobiose,Glucose,Glucose,Cellobiose,Glucose,Glucose,Glucose,Glucose,Glucose,Cellobiose,Glucose,Cellobiose,Cellobiose,Cellobiose,Glucose,Glucose,Glucose,Cellobiose,Cellobiose,Glucose,Glucose,Cellobiose,Cellobiose,Glucose,Cellobiose,Glucose,Cellobiose,Cellobiose,Cellobiose,Cellobiose,Cellobiose
Day,2,5,2,2,5,5,1,2,1,2,2,5,5,1,1,5,2,1,5,2,5,2,5,1,5,5,1,1,1,1,5,1,1,5,5,5,5,1,2,5,5,1,5,1,5,2,5,2,2,5,1,5,1,5,1,1,5,2,1,5,2,2,1,1
Sample,MG12,GC1,GG9,MC12,GG4,MC4,GG5,MG9,GG6,GG10,BG12,BG1,MC3,MG5,MG8,BG3,BG9,GC7,BC11,BC9,MC1,GC9,BC3,BC8,GG12,MG4,GC5,MC7,GC8,MG6,MG2,BG8,BG5,GC2,MG1,BG2,BC4,BG7,BG10,GG1,GG3,GG8,BC1,MG7,GC4,MC9,MC2,GC10,MG10,MG3,MC6,BC2,BG6,BG4,MC5,BC6,GG2,BC12,GG7,GC3,MC10,GC11,BC7,MC8
OTU_417,0,0,0,0,0,10.1010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3030303,8.928571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.60784314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.60784314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.98901099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_221,0,0,0,40.54054054,68.96551724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.289308176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.85714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_62,35.0877193,12.98701299,0,0,103.4482759,30.3030303,0,0,0,0,0,863.6363636,78.43137255,0,0,0,0,0,0,0,35.0877193,0,52.63157895,0,0,85.71428571,0,0,0,0,0,0,34.48275862,0,98.9010989,0,0,0,0,113.2075472,137.9310345,0,32.25806452,0,0,0,56.33802817,0,0,19.60784314,17.85714286,0,0,0,4.830917874,0,0,0,29.41176471,0,0,0,0,0
OTU_118,87.71929825,38.96103896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.8241758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.8627451,5.952380952,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_6,2684.210526,909.0909091,1970.588235,4459.459459,758.6206897,4929.292929,7518.518519,3267.605634,1574.074074,3428.571429,482.1428571,3204.545455,1117.647059,7044.444444,21924.5283,1967.741935,1633.333333,841.2698413,0,558.1395349,2333.333333,189.1891892,842.1052632,1422.222222,1545.454545,714.2857143,1848.484848,14571.42857,1163.265306,1896.551724,1687.5,625,2172.413793,915.2542373,2307.692308,1020.833333,1744.680851,931.0344828,642.8571429,1194.968553,2017.241379,1675.324675,2290.322581,5970.588235,580.6451613,9133.333333,2197.183099,571.4285714,800,941.1764706,2702.380952,444.4444444,708.3333333,1351.851852,6652.173913,692.3076923,1698.113208,1184.210526,3117.647059,1071.428571,4000,3333.333333,1588.235294,4112.244898
OTU_665,35.0877193,0,0,27.02702703,0,40.4040404,0,0,0,0,0,0,0,0,37.73584906,0,0,15.87301587,0,0,0,0,0,0,0,0,0,17.85714286,0,34.48275862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.66666667,0,0,0,0,23.80952381,0,0,0,19.3236715,0,18.86792453,0,0,0,0,0,0,30.6122449
OTU_717,0,0,29.41176471,13.51351351,0,0,37.03703704,14.08450704,0,0,0,0,0,44.44444444,37.73584906,0,0,0,0,0,35.0877193,0,0,0,0,0,30.3030303,8.928571429,0,0,0,125,0,0,0,0,0,0,0,12.57861635,0,0,0,0,0,13.33333333,0,0,0,0,5.952380952,0,0,0,14.49275362,25.64102564,18.86792453,0,0,0,13.33333333,0,0,0
OTU_841,0,0,0,13.51351351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.928571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_523,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22222222,18.86792453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.33802817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_777,35.0877193,0,235.2941176,135.1351351,68.96551724,90.90909091,0,309.8591549,37.03703704,500,0,68.18181818,98.03921569,1511.111111,169.8113208,0,33.33333333,0,0,139.5348837,210.5263158,0,157.8947368,0,204.5454545,200,0,62.5,0,34.48275862,31.25,0,68.96551724,0,131.8681319,0,21.27659574,34.48275862,107.1428571,50.31446541,103.4482759,77.92207792,80.64516129,470.5882353,0,80,0,14.28571429,114.2857143,196.0784314,0,37.03703704,145.8333333,148.1481481,0,0,150.9433962,78.94736842,58.82352941,23.80952381,93.33333333,0,0,10.20408163
OTU_1,104684.2105,42246.75325,177382.3529,425094.5946,54827.58621,251040.404,194407.4074,256901.4085,61500,156285.7143,32303.57143,130772.7273,105686.2745,703688.8889,181622.6415,72258.06452,68200,61476.19048,7391.304348,70790.69767,242877.193,27297.2973,71842.10526,74444.44444,115704.5455,89542.85714,113151.5152,379598.2143,67959.18367,104965.5172,84375,95437.5,112275.8621,48813.55932,157131.8681,65895.83333,72510.6383,147275.8621,41642.85714,85433.96226,66793.10345,102844.1558,90112.90323,303647.0588,71838.70968,609880,171619.7183,47857.14286,87542.85714,181686.2745,128988.0952,33259.25926,76791.66667,109111.1111,225304.3478,89743.58974,118603.7736,89000,146705.8824,60904.7619,424320,100472.2222,122470.5882,139551.0204
OTU_613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_724,0,0,0,0,68.96551724,0,0,0,0,0,0,0,0,22.22222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_646,210.5263158,116.8831169,470.5882353,959.4594595,34.48275862,777.7777778,444.4444444,577.4647887,111.1111111,214.2857143,0,340.9090909,235.2941176,1822.222222,584.9056604,112.9032258,133.3333333,111.1111111,0,93.02325581,508.7719298,27.02702703,105.2631579,200,250,85.71428571,242.4242424,1116.071429,306.122449,68.96551724,343.75,62.5,379.3103448,118.6440678,219.7802198,166.6666667,212.7659574,379.3103448,35.71428571,270.4402516,86.20689655,116.8831169,129.0322581,588.2352941,161.2903226,1480,352.1126761,100,257.1428571,647.0588235,345.2380952,0,125,333.3333333,429.9516908,538.4615385,301.8867925,105.2631579,235.2941176,71.42857143,986.6666667,138.8888889,147.0588235,428.5714286
OTU_502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.96103896,0,0,0,0,0,0,28.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_648,0,0,0,0,0,0,0,0,0,47.61904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
