Sample,Substrate,Structure,Prot.in,DNA,Prot.out,Prot.in.gapfilled,Day,DNA.init
B_A_5,Avicel,Broth,,1.15,6.44,15.15,1,2.01
B_A_6,Avicel,Broth,,1.06,11.97,13.07,1,2.01
B_A_7,Avicel,Broth,,1.13,11.11,14.69,1,2.01
B_A_8,Avicel,Broth,,1.23,2.91,16.99,1,2.01
B_CF_5,Carbon Free,Broth,,0.97,26.61,10.95,1,2.01
B_CF_6,Carbon Free,Broth,,1.58,47.80,24.76,1,2.01
B_CF_7,Carbon Free,Broth,,1.32,42.88,19.02,1,2.01
B_CF_8,Carbon Free,Broth,,1.25,1.17,17.44,1,2.01
B_C_5,Cellobiose,Broth,99.90,5.59,1.15,99.90,1,2.01
B_C_6,Cellobiose,Broth,90.30,6.06,11.39,90.30,1,2.01
B_C_7,Cellobiose,Broth,80.40,5.07,40.42,80.40,1,2.01
B_C_8,Cellobiose,Broth,90.00,5.53,9.48,90.00,1,2.01
B_GCA_5,Mixed Carbon ,Broth,102.90,7.06,23.97,102.90,1,2.01
B_GCA_6,Mixed Carbon ,Broth,87.30,6.22,49.17,87.30,1,2.01
B_GCA_7,Mixed Carbon ,Broth,109.80,6.55,17.42,109.80,1,2.01
B_GCA_8,Mixed Carbon ,Broth,120.30,6.00,13.97,120.30,1,2.01
B_G_5,Glucose,Broth,126.60,3.30,17.27,126.60,1,2.01
B_G_6,Glucose,Broth,123.60,6.29,40.00,123.60,1,2.01
B_G_7,Glucose,Broth,90.60,6.36,81.57,90.60,1,2.01
B_G_8,Glucose,Broth,105.60,5.12,30.20,105.60,1,2.01
GW_A_5,Avicel,Glass Wool,,,9.59,,1,2.01
GW_A_6,Avicel,Glass Wool,,3.83,17.96,65.14,1,2.01
GW_A_7,Avicel,Glass Wool,,0.32,5.58,,1,2.01
GW_A_8,Avicel,Glass Wool,,2.71,13.56,47.11,1,2.01
GW_CF_5,Carbon Free,Glass Wool,,1.64,33.71,26.05,1,2.01
GW_CF_6,Carbon Free,Glass Wool,,1.18,1.42,15.84,1,2.01
GW_CF_7,Carbon Free,Glass Wool,,1.00,1.44,11.66,1,2.01
GW_CF_8,Carbon Free,Glass Wool,,0.99,12.23,11.42,1,2.01
GW_C_5,Cellobiose,Glass Wool,,6.39,,90.88,1,2.01
GW_C_6,Cellobiose,Glass Wool,142.80,,24.65,142.80,1,2.01
GW_C_7,Cellobiose,Glass Wool,125.40,7.30,1.13,125.40,1,2.01
GW_C_8,Cellobiose,Glass Wool,113.10,6.13,16.50,113.10,1,2.01
GW_GCA_5,Mixed Carbon ,Glass Wool,,,,,1,2.01
GW_GCA_6,Mixed Carbon ,Glass Wool,,0.62,78.58,2.48,1,2.01
GW_GCA_7,Mixed Carbon ,Glass Wool,65.70,6.24,65.22,65.70,1,2.01
