Sample,Structure,Substrate,r,Time,Day,Cinit,DOCinit
CSub3_B_G_1,Broth,Glucose,0.02,4.6,0,25,25
CSub3_GW_G_1,Glass wool,Glucose,0.02,4.6,0,25,25
CSub3_B_G_2,Broth,Glucose,0.03,4.6,0,25,25
CSub3_MG_G_1,Mixed glass,Glucose,0.05,4.6,0,25,25
CSub3_GW_G_2,Glass wool,Glucose,0.02,4.6,0,25,25
CSub3_MG_G_2,Mixed glass,Glucose,0.03,4.6,0,25,25
CSub3_B_G_3,Broth,Glucose,0.03,4.7,0,25,25
CSub3_GW_G_3,Glass wool,Glucose,0.02,4.7,0,25,25
CSub3_B_G_4,Broth,Glucose,0.03,4.7,0,25,25
CSub3_MG_G_3,Mixed glass,Glucose,0.04,4.7,0,25,25
CSub3_GW_G_4,Glass wool,Glucose,0.02,4.7,0,25,25
CSub3_B_C_1,Broth,Cellobiose,0.00,4.7,0,25,25
CSub3_MG_G_4,Mixed glass,Cellobiose,0.08,4.7,0,25,25
CSub3_B_C_2,Broth,Cellobiose,0.00,4.8,0,25,25
CSub3_GW_C_1,Glass wool,Cellobiose,0.02,4.7,0,25,25
CSub3_MG_C_1,Mixed glass,Cellobiose,0.05,4.7,0,25,25
CSub3_GW_C_2,Glass wool,Cellobiose,0.01,4.8,0,25,25
CSub3_MG_C_2,Mixed glass,Cellobiose,0.03,4.8,0,25,25
CSub3_B_C_3,Broth,Cellobiose,0.00,4.8,0,25,25
CSub3_GW_C_3,Glass wool,Cellobiose,0.01,4.8,0,25,25
CSub3_B_C_4,Broth,Cellobiose,0.00,4.8,0,25,25
CSub3_MG_C_3,Mixed glass,Cellobiose,0.06,4.8,0,25,25
CSub3_GW_C_4,Glass wool,Cellobiose,0.02,4.9,0,25,25
CSub3_MG_C_4,Mixed glass,Cellobiose,0.06,4.9,0,25,25
CSub3_B_A_1,Broth,Celluloze,0.00,4.9,0,25,25
CSub3_GW_A_1,Glass wool,Celluloze,0.01,4.9,0,25,25
CSub3_MG_A_1,Mixed glass,Celluloze,0.04,4.9,0,25,25
CSub3_B_A_2,Broth,Celluloze,0.00,5.0,0,25,25
CSub3_GW_A_2,Glass wool,Celluloze,0.00,5.0,0,25,25
CSub3_MG_A_2,Mixed glass,Celluloze,0.04,5.0,0,25,25
CSub3_B_A_3,Broth,Celluloze,,5.0,0,25,25
CSub3_GW_A_3,Glass wool,Celluloze,0.01,5.0,0,25,25
CSub3_MG_A_3,Mixed glass,Celluloze,0.04,5.0,0,25,25
CSub3_B_A_4,Broth,Celluloze,,5.0,0,25,25
