"Name","ll","R2","N","AIC"
"Respiration rate",-8.91918120753529,0.902522609753713,10,37.8383624150706
"Protein",-30.3263796053044,0,10,80.6527592106089
"DNA",-39.2151364811554,0,10,98.4302729623109
"Respiration rate",-4.44413092820406,0.951430263079737,21,50.8882618564081
"Protein",-13.333332136484,0.515151558673307,21,68.6666642729681
"DNA",-23.4245866237018,0.300758608247708,21,88.8491732474036
"Respiration rate",-8.54705714692935,0.906589539377821,20,57.0941142938587
"Protein",-29.5324787924179,0,20,99.0649575848359
"DNA",-38.6020892540196,0,20,117.204178508039
"Respiration rate",-2.87603628867055,0.968567909413437,60,125.752072577341
"Protein",-6.74774812148125,0.754627341037045,60,133.495496242963
"DNA",-28.2819969123814,0.155761286197571,60,176.563993824763
