"variable","SSres","SStot","ll","R2","N","AIC"
"r",2.16305214744589,12.3362434782609,-16.0437228594001,0.824658766563933,7,46.0874457188002
"Protc",6.82248832300724,3.20738661823981,-58.4957322624433,-1.12711753681612,7,130.991464524887
"DNAc",0.0601407146394623,0.0252232114836218,-79.8753934141259,-1.38434010191421,7,173.750786828252
"r",1.72184628911972,12.3362434782609,-12.7712245410922,0.860423775507189,21,67.5424490821844
"Protc",24.8836598284716,3.20738661823981,-213.351468573037,-6.75823522083772,21,468.702937146074
"DNAc",0.0554025919565135,0.0252232114836218,-73.5824949074527,-1.1964923852971,21,189.164989814905
"r",1.95924628926169,12.3362434782609,-14.5320604107206,0.841179667642398,14,57.0641208214412
"Protc",4.98895554149092,3.20738661823981,-42.7750981471304,-0.555458114441105,14,113.550196294261
"DNAc",0.0886452283434196,0.0252232114836218,-117.733427856037,-2.51443068226977,14,263.466855712075
"r",1.32972311732005,12.3362434782609,-9.86278079296931,0.892210045978478,42,103.725561585939
"Protc",2.90245412012431,3.20738661823981,-24.8855213928721,0.0950719493501042,42,133.771042785744
"DNAc",0.0713641420000971,0.0252232114836218,-94.7816957628734,-1.82930435113055,42,273.563391525747
