"variable","SSres","SStot","ll","R2","N","AIC"
"r",1.90794617640273,12.3362434782609,-14.1515588151687,0.845338155025479,6,40.3031176303373
"Protc",3.99994074666613,3.20738661823981,-34.2953262658697,-0.247102773304352,6,80.5906525317394
"DNAc",0.0507783871929214,0.0252232114836218,-67.4408955444642,-1.01316106102878,6,146.881791088928
"r",1.48929321452758,12.3362434782609,-11.0463391363353,0.879274982116554,18,58.0926782726705
"Protc",4.31868108607913,3.20738661823981,-37.0281927322977,-0.346479735719917,18,110.056385464595
"DNAc",0.0467886601744632,0.0252232114836218,-62.1419725581848,-0.854984255468205,18,160.28394511637
"r",2.41903156665648,12.3362434782609,-17.9423654161106,0.803908574687316,12,59.8847308322212
"Protc",5.83099037609148,3.20738661823981,-49.9946699380183,-0.817987997746119,12,123.989339876037
"DNAc",0.0618657841108148,0.0252232114836218,-82.1665301842328,-1.45273224430546,12,188.333060368466
"r",1.09391801692947,12.3362434782609,-8.11377456398563,0.911324868153162,36,88.2275491279713
"Protc",2.6841558625748,3.20738661823981,-23.0138411755661,0.163133048161233,36,118.027682351132
"DNAc",0.0662476025616082,0.0252232114836218,-87.9862061678757,-1.62645391545898,36,247.972412335751
